"show_id","type","title","director","listed_in","description","country","date_added","rating"
"s2179","TV Show","The Next Step",NULL,"Kids' TV, Reality TV, TV Dramas","This drama series follows young dancers at the Next Step Dance Studio as they attempt to win the coveted regional dance championships.","Canada","August 1, 2020","TV-G"
"s2180","Movie","The Ottoman Lieutenant","Joseph Ruben","Dramas, Romantic Movies","As World War I looms, an American nurse travels to the Ottoman Empire on a medical mission, where she clashes with a dashing lieutenant.","Turkey, United States","August 1, 2020","R"
"s2182","TV Show","Transformers Rescue Bots Academy",NULL,"Kids' TV","As part of the first class at the Rescue Bots Academy, five Cybertron recruits train under their skilled teachers and take on daring rescue missions.","United States","August 1, 2020","TV-Y"
"s2187","Movie","Raat Akeli Hai","Honey Trehan","Dramas, International Movies, Thrillers","When a newly married landlord is murdered, a misfit cop’s investigation is complicated by the victim’s secretive family and his own conflicted heart.","India","July 31, 2020","TV-MA"
"s2192","Movie","Retablo","Álvaro Delgado-Aparicio L.","Dramas, International Movies","High in the Andes, a teenage boy and his father work together as artisans. But their bond is shattered when the son learns of his father's secret life.","Peru, Germany, Norway","July 30, 2020","TV-MA"
"s2194","Movie","Uma Maheswara Ugra Roopasya","Venkatesh Maha","Comedies, Dramas, Independent Movies","Defeated and humiliated in a fight while trying to defuse a conflict among his fellow villagers, a photographer vows revenge on his attacker.","India","July 30, 2020","TV-MA"
"s2197","Movie","Redemption","Mickey Fonseca","Dramas, International Movies, Thrillers","Newly released from prison, a man returning to his girlfriend and their child subsequently learns about a dangerous debt taken by his late mother.","Mozambique","July 29, 2020","TV-MA"
"s2198","Movie","Shine Your Eyes","Matias Mariani","Dramas, Independent Movies, International Movies","A Nigerian musician travels to Brazil to search for his estranged brother, who is living a life very different than the one his family thought.","Brazil, France","July 29, 2020","TV-MA"
"s2199","Movie","The Hater","Jan Komasa","Dramas, International Movies, Thrillers","A duplicitous young man finds success in the dark world of social media smear tactics — but his virtual vitriol soon has violent real-life consequences.","Poland","July 29, 2020","TV-MA"
"s2203","Movie","Banana Split","Ben Kasulke","Comedies, Dramas, Independent Movies","Despite leaving for college, a heartsick teen tries to build a new friendship with a kindred spirit even though she's dating her ex-boyfriend.","United States","July 26, 2020","TV-MA"
"s2207","Movie","Project Marathwada","Bhavin Wadia","Dramas, Independent Movies, International Movies","After his son’s suicide, a debt-ridden farmer seeks justice from the government. But as his pleas are mocked and rebuffed, his own will to live erodes.","India","July 25, 2020","TV-MA"
"s2210","Movie","Nimbe","Tope Alake","Dramas, International Movies","A bullied teenager gravitates toward the acceptance he finds in a street gang but soon ends up involved in a world of drug abuse and organized crime.","Nigeria","July 24, 2020","TV-MA"
"s2212","Movie","Romance Doll","Yuki Tanada","Dramas, International Movies, Romantic Movies","Love came naturally for married couple Sonoko and Tetsuo. But his secret profession as a love doll designer clashes with her deeper, darker secret.","Japan","July 24, 2020","TV-MA"
"s2217","Movie","The Letter Reader","Sibusiso Khuzwayo","Dramas, International Movies","A young boy from Johannesburg arrives in KwaZulu-Natal and begins to read letters for villagers — then falls in love with one of the recipients.","South Africa","July 23, 2020","TV-PG"
"s2221","Movie","Ip Man 4: The Finale","Wilson Yip","Action & Adventure, Dramas, International Movies","Ip Man travels to San Francisco with his son and wrestles with tensions between martial arts masters and his star student, Bruce Lee.","Hong Kong, China","July 21, 2020","TV-MA"
"s2225","Movie","Funan","Denis Do","Dramas, International Movies","Separated from their young son during the brutal Khmer Rouge revolution, a couple must find ways to endure while searching for their child.","France, Belgium, Luxembourg, Cambodia,","July 18, 2020","TV-14"
"s2226","TV Show","Gigantosaurus",NULL,"Kids' TV","Four prehistoric friends go on an array of adventures while trying to unravel a mystery about a big, fierce creature. Based on Jonny Duddle's book.","France","July 18, 2020","TV-Y"
"s2494","Movie","Anchor Baby","Lonzo Nzekwe","Dramas, International Movies","A Nigerian couple living in the U.S. face agonizing fallout when they defy deportation orders with the hopes of giving their unborn child citizenship.","Canada, Nigeria","May 20, 2020","TV-MA"
"s2235","Movie","Cold Feet","Moses Inwang","Dramas, International Movies, Romantic Movies","At a resort getaway, the fate of two couples collides when a wife unexpectedly runs into an old flame as he hesitates to propose to his girlfriend.","Nigeria","July 15, 2020","TV-14"
"s2239","TV Show","Sunny Bunnies",NULL,"British TV Shows, Kids' TV, TV Comedies","Furry little bunnies hop through wild adventures as they find solutions, fun and sometimes mischief wherever there is light.","Belarus","July 15, 2020","TV-Y"
"s2240","Movie","Sylvia","Daniel Oriahi","Dramas, International Movies, Thrillers","When a man outgrows a childhood friendship and commits to marrying his girlfriend, obsession and spiritual warfare soon disrupt his peaceful life.","Nigeria","July 15, 2020","TV-14"
"s2245","Movie","Hole in the Wall","André Odendaal, Johan Vorster","Dramas, International Movies","Diagnosed with colon cancer, a free-spirited man embarks on an illuminating road trip with his son through South Africa.","South Africa","July 11, 2020","TV-MA"
"s2250","TV Show","The Epic Tales of Captain Underpants in Space",NULL,"Kids' TV, TV Action & Adventure, TV Comedies","Best friends George and Harold — along with their classmates and tyrannical principal — are recruited for a mysterious mission in outer space.","United States","July 10, 2020","TV-Y7"
"s2266","Movie","Bbuddah Hoga Terra Baap","Puri Jagannadh","Action & Adventure, Comedies, Dramas","A cooly confident aging hit man returns from exile in Paris to his old city, Mumbai, to revisit his past and perform one last job.","India","July 5, 2020","TV-14"
"s2267","Movie","Blood Money","Vishal Mahadkar","Dramas, International Movies, Romantic Movies","Ambitious Kunal takes a job in the diamond business, but his life is thrown into turmoil when he's drawn into the seedy underworld of his new career.","India","July 5, 2020","TV-14"
"s2268","Movie","Bombay Talkies","Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar","Dramas, International Movies","A gay man deals with his sexuality, a struggling actor has an epiphany, a boy becomes a dancer, and a man tries to fulfill his father's dying wish.","India","July 5, 2020","TV-MA"
"s2269","Movie","Boss","Anthony D'Souza","Action & Adventure, Comedies, Dramas","Disowned by his father as a boy, Surya is taken in by a crime boss. When his brother Shiv is wrongly imprisoned, his father pleads for Surya's help.","India","July 5, 2020","TV-14"
"s2270","Movie","Budhia Singh: Born to Run","Soumendra Padhi","Dramas, Independent Movies, International Movies","In this thought-provoking biopic, an idealistic judo trainer adopts a boy from the slums and grooms him into the world's youngest marathon runner.","India","July 5, 2020","TV-MA"
"s2272","Movie","Dharam Sankat Mein","Fuwad Khan","Comedies, Dramas, International Movies","After learning he was adopted from a Muslim couple, a Hindu man seeks his birth father but finds he must confront his bigotry to realize his quest.","India","July 5, 2020","TV-PG"
"s2273","Movie","Drishyam","Nishikant Kamat","Dramas, International Movies, Thrillers","An unexceptional man becomes a murder suspect when the son of a high-ranking police official who harassed his daughter goes missing.","India","July 5, 2020","TV-14"
"s2274","Movie","Gabbar Is Back","Krish","Action & Adventure, Dramas, International Movies","After a vengeful college professor targets corruption in the government, he adopts the name Gabbar and becomes a hero to a weary public.","India","July 5, 2020","TV-14"
"s2277","Movie","Inkaar","Sudhir Mishra","Dramas, International Movies, Romantic Movies","An ad agency CEO is put under investigation when his ambitious protégée – and lover – accuses him of sexual harassment, vying for his top position.","India","July 5, 2020","TV-MA"
"s2278","Movie","Madras Café","Shoojit Sircar","Dramas, International Movies, Thrillers","An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.","India","July 5, 2020","TV-14"
"s2279","Movie","Mary Kom","Omung Kumar","Dramas, International Movies, Sports Movies","The daughter of a poor rice farmer overcomes the objections of her father and the demands of a male-dominated society to pursue a career in boxing.","India","July 5, 2020","TV-PG"
"s2280","Movie","Michael","Ribhu Dasgupta","Dramas, Independent Movies, International Movies","After a dedicated cop accidentally kills a 12-year-old boy, he's fired, harassed and forced to take menial work as he tries to keep his life together.","India","July 5, 2020","TV-MA"
"s2282","Movie","Oh My God","Umesh Shukla","Comedies, Dramas, International Movies","Mumbai shopkeeper Kanji Bhai files a lawsuit against God when an earthquake destroys his store and his insurance policy won't cover the damage.","India","July 5, 2020","TV-PG"
"s2283","Movie","One by Two","Devika Bhagat","Comedies, Dramas, International Movies","The lives of a Mumbai man and woman who are both dealing with issues intersect through a TV dance show that she wants to win but he wants to sabotage.","India","July 5, 2020","TV-14"
"s2284","Movie","Only","Takashi Doscher","Dramas, Independent Movies, Romantic Movies","A couple must endure a self-imposed quarantine and elude authorities after a mysterious virus proves lethal to the world’s female population.","United States","July 5, 2020","TV-MA"
"s2285","Movie","Penalty","Shubham Singh","Dramas, Independent Movies, International Movies","At a Lucknow college, an aspiring football player’s dream of playing nationally is threatened when he faces discrimination for his Manipuri background.","India","July 5, 2020","TV-14"
"s2287","Movie","Pyaar Ka Punchnama 2","Luv Ranjan","Comedies, Dramas, International Movies","Three young bachelors find the reality of relationships to be far removed from the idea of true romance that they had once pursued.","India","July 5, 2020","TV-MA"
"s2288","Movie","Queen","Vikas Bahl","Comedies, Dramas, International Movies","Dumped by her fiancé, a sheltered young woman decides to go on her honeymoon to Europe alone, embarking on an exhilarating journey of self-discovery.","India","July 5, 2020","TV-MA"
"s2289","Movie","Shaitan","Bejoy Nambiar","Action & Adventure, Dramas, Independent Movies","When they're blackmailed after a hit-and-run, a troubled rich girl and her wild friends stage a fake kidnapping with a plan to collect the ransom.","India","July 5, 2020","TV-MA"
"s2290","Movie","Special 26","Neeraj Pandey","Dramas, International Movies, Thrillers","In this fact-based crime drama, a gang of con artists posing as government officials executes a heist in the form of a raid on a prominent jeweler.","India","July 5, 2020","TV-PG"
"s2291","Movie","Tanu Weds Manu","Aanand Rai","Comedies, Dramas, International Movies","When London-based doctor Manu reluctantly returns to India to find a bride, he meets the girl of his dreams – only to discover she loves another man.","India","July 5, 2020","TV-14"
"s2293","TV Show","Little Singham",NULL,"Kids' TV, TV Comedies","A spinoff of Rohit Shetty's action franchise, this animated series follows brave kid cop Little Singham’s adventures as he defends his town from evil.","India","July 4, 2020","TV-Y7"
"s2296","Movie","Hunter in the Blue Side of Manchester","Rako Prijanto","Dramas, International Movies","To honor his father, a diligent college graduate takes on the daunting goal of becoming a reporter for an English Premier League soccer club.","Indonesia, United Kingdom","July 3, 2020","TV-MA"
"s2300","TV Show","The Baby-Sitters Club",NULL,"Kids' TV, TV Dramas","Ann M. Martin's beloved books get a modern update in this series that follows a group of girlfriends and their homegrown babysitting business.","United States","July 3, 2020","TV-G"
"s2301","Movie","The Perfect Picture: Ten Years Later","Shirley Frimpong-Manso","Comedies, Dramas, International Movies","From flawed husbands to shaky finances, new complications test a close circle of friends who must lean on each other in a new decade of their lives.","Ghana","July 3, 2020","TV-MA"
"s2308","TV Show","Abby Hatcher","Kyran Kelly","Kids' TV","A big-hearted girl helps her Fuzzly friends who live in her family's hotel with exploring feelings, fixing mishaps and embracing their special quirks.","United States, Canada","July 1, 2020","TV-Y"
"s2309","Movie","Adú","Salvador Calvo","Dramas, International Movies","Near a Spanish town in northern Africa, a child takes a painful journey, a father reconnects with his daughter and a coast guard is guilt stricken.","Spain","July 1, 2020","TV-MA"
"s2319","TV Show","Trotro",NULL,"Kids' TV","Trotro the donkey may be opinionated, but he's as sweet as can be in this animated series that's full of lessons for children.","France","July 1, 2020","TV-Y"
"s2324","Movie","The Mirror Boy","Obi Emelonye","Action & Adventure, Dramas, International Movies","A young boy is taken to his mother's birth home in Africa, where a mystical adventure in an ominous forest turns into a journey of self-discovery.","United Kingdom, Nigeria","June 30, 2020","TV-14"
"s2325","Movie","#FriendButMarried 2","Rako Prijanto","Dramas, International Movies, Romantic Movies","As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.","Indonesia","June 28, 2020","TV-G"
"s2327","Movie","Thackeray (Marathi)","Abhijit Panse","Dramas, International Movies","This biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray, from controversial cartoonist to powerful Mumbai politician.",NULL,"June 28, 2020","TV-14"
"s2329","Movie","Ride Like a Girl","Rachel Griffiths","Children & Family Movies, Dramas, Independent Movies","The daughter of a horse trainer, an ambitious girl sets her sights on becoming the first female jockey to win the Melbourne Cup. Based on a true story.","Australia","June 27, 2020","PG"
"s2334","Movie","Ordinary People","Eduardo Roy Jr.","Dramas, Independent Movies, International Movies","Barely making a living as pickpockets, a teenage couple in Manila resort to desperate measures when their one-month-old child is kidnapped.","Philippines","June 26, 2020","TV-MA"
"s2335","Movie","Seven (Tamil)",NULL,"Dramas, International Movies, Romantic Movies","Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection.","India","June 26, 2020","TV-MA"
"s2336","Movie","Seven (Telugu)",NULL,"Dramas, International Movies, Romantic Movies","Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection.",NULL,"June 26, 2020","TV-14"
"s2337","Movie","Thackeray (Hindi)","Abhijit Panse","Dramas, International Movies","From controversial cartoonist to powerful Mumbai politician, this biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray.","India","June 26, 2020","TV-14"
"s2340","Movie","Prem Ratan Dhan Payo","Sooraj R. Barjatya","Action & Adventure, Dramas, International Movies","While recovering from an assassination attempt four days prior to his coronation, a stern prince is replaced by a joyful and generous doppelgänger.","India","June 25, 2020","TV-14"
"s2341","Movie","Vivah","Sooraj R. Barjatya","Dramas, International Movies, Romantic Movies","Set up for an arranged marriage, a young couple enjoys an old-fashioned courtship, until an accident days before their wedding tests their nascent love.","India","June 25, 2020","TV-14"
"s2345","Movie","Nobody Knows I'm Here","Gaspar Antillo","Dramas, Independent Movies, International Movies","A former child singer, traumatized by his experiences, becomes a recluse, nurturing his hurt until a woman comes into his life and really hears him.","Chile","June 24, 2020","TV-MA"
"s2348","Movie","Kappela","Musthafa","Dramas, Independent Movies, International Movies","Falling into an over-the-phone romance with a rickshaw driver, a young woman visits his city when an encounter with a stranger derails their meeting.","India","June 22, 2020","TV-14"
"s2351","Movie","Woodshock","Kate Mulleavy, Laura Mulleavy","Dramas, Independent Movies, Thrillers","Shattered after her mother's death, a woman floats away from reality under the effect of a potent, hallucinatory drug as her life decays into chaos.","United States","June 21, 2020","R"
"s2352","Movie","Elevator Baby","Akhigbe Ilozobhie","Dramas, International Movies","A chance encounter brings a brash, wealthy young man and an underprivileged woman together when they get stuck in an elevator and she goes into labor.","Nigeria","June 20, 2020","TV-MA"
"s2354","Movie","Chaman Bahaar","Apurva Dhar Badgaiyann","Comedies, Dramas, International Movies","A local shop becomes a hub for young men taken with the new neighbor. But as business booms, it may leave the equally smitten storeowner heartbroken.","India","June 19, 2020","TV-MA"
"s2355","Movie","Destiny","Youssef Chahine","Dramas, International Movies","In 12th-century Spain, a philosopher and his profound teachings jeopardize the caliph he serves when political rivals threaten a government upheaval.","France, Egypt","June 19, 2020","TV-14"
"s2357","Movie","Feel the Beat","Elissa Down","Children & Family Movies, Comedies, Dramas","After blowing a Broadway audition, a self-centered dancer reluctantly returns home and agrees to coach a squad of young misfits for a big competition.","United States","June 19, 2020","TV-G"
"s2359","Movie","Lost Bullet","Guillaume Pierret","Action & Adventure, Dramas, International Movies","Facing a murder charge, a genius mechanic with a criminal past must track down a missing car containing the proof of his innocence: a single bullet.","France","June 19, 2020","TV-MA"
"s2361","Movie","One-Way to Tomorrow","Ozan Açıktan","Dramas, International Movies, Romantic Movies","Two strangers cross paths on a train en route to Izmir, bonding over their turbulent — and unexpectedly intertwined — romantic pasts.","Turkey","June 19, 2020","TV-MA"
"s2362","Movie","The Emigrant","Youssef Chahine","Dramas, International Movies","Ram leaves the nomadic life and embarks on a quest for knowledge in a pharaonic Egypt mired in political intrigue. Based on a biblical story.","Egypt, France","June 19, 2020","TV-14"
"s2364","Movie","Wasp Network","Olivier Assayas","Dramas, International Movies, Thrillers","Based on a true and gripping story: Cuban spies infiltrate exile groups in the 1990s to stop terrorism against the island, but at a high personal cost.","France, Brazil, Spain, Belgium","June 19, 2020","TV-MA"
"s2366","Movie","Alexandria ... Why?","Youssef Chahine","Classic Movies, Dramas, International Movies","Living in Alexandria during World War II, an Egyptian teen enamored with American films dreams of making it in Hollywood.","Egypt, Algeria","June 18, 2020","TV-MA"
"s2367","Movie","Alexandria: Again and Forever","Youssef Chahine","Classic Movies, Dramas, International Movies","At the peak of his career, Yehia joins a hunger strike, becomes smitten and reckons with a creative crisis — but finds a new muse.","France, Egypt","June 18, 2020","TV-MA"
"s2368","Movie","An Egyptian Story","Youssef Chahine","Classic Movies, Dramas, Independent Movies","While undergoing heart surgery in London, Yehia reflects on his life as his heart chamber becomes a courtroom where he's tried for his mistakes.","Egypt","June 18, 2020","TV-MA"
"s2369","Movie","Cairo Station","Youssef Chahine","Classic Movies, Dramas, International Movies","A Cairo newsstand vendor's fantasies morph into a dangerous fixation with a lemonade seller as a serial killer begins terrorizing the city.","Egypt","June 18, 2020","TV-14"
"s2370","Movie","Dark Waters","Youssef Chahine","Classic Movies, Dramas, International Movies","A fisherman returns home after a three-year absence only to find the woman he loves drifting away, the sailors feuding and his community unraveling.","Egypt","June 18, 2020","TV-14"
"s2374","Movie","Saladin","Youssef Chahine","Action & Adventure, Classic Movies, Dramas","The Sultan of Egypt and Syria launches a campaign to retake Jerusalem amid the Crusades.","Egypt","June 18, 2020","TV-MA"
"s2375","Movie","Stray Bullet","Georges Hachem","Dramas, International Movies, Romantic Movies","In 1976 Beirut, after a rendezvous with her old flame, soon-to-wed Noha witnesses a violent incident and changes course on a path to self-realization.","Lebanon","June 18, 2020","TV-MA"
"s2376","Movie","The Blazing Sun","Youssef Chahine","Classic Movies, Dramas, International Movies","Competition between sugar cane producers turns deadly after a greedy landlord conspires against an agricultural engineer who falls for his daughter.","Egypt","June 18, 2020","TV-14"
"s2377","Movie","The Land","Youssef Chahine","Classic Movies, Dramas, International Movies","A group of peasant farmers fights to protect their village against a corrupt landowner. Adapted from the popular novel by Abdel Rahman al-Sharqawi.","Egypt","June 18, 2020","TV-MA"
"s2381","Movie","Riding Faith","Paco Aguilar","Children & Family Movies, Dramas, Faith & Spirituality","Following her father's death, a young woman struggles to help her mother keep the family ranch afloat while preserving a special bond with her horse.","United States","June 17, 2020","TV-PG"
"s2382","Movie","Last Flight to Abuja","Obi Emelonye","Dramas, International Movies","When disaster strikes mid-flight, a commercial plane's frantic passengers confront their pasts and the possibility of death. Based on true events.","Nigeria, United Kingdom","June 16, 2020","TV-14"
"s2387","Movie","Wira","Adrian Teh","Action & Adventure, Dramas, International Movies","After a long stint in the army, an ex-lieutenant returns home and enters an underground MMA match to take on a local mobster and protect his family.","Malaysia","June 15, 2020","TV-14"
"s2388","Movie","4th Republic","Ishaya Bako","Dramas, International Movies, Thrillers","After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.","Nigeria","June 13, 2020","TV-MA"
"s2389","TV Show","Alexa & Katie",NULL,"Kids' TV, TV Comedies","Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school – and ready for whatever comes next.","United States","June 13, 2020","TV-G"
"s2390","Movie","Asura Guru","A. Raajdheep","Dramas, International Movies","For a tech-savvy thief, elaborate robberies and evading the police are second nature until a private detective is hired to investigate his latest heist.","India","June 13, 2020","TV-14"
"s2392","Movie","Milea","Fajar Bustomi, Pidi Baiq","Dramas, International Movies, Romantic Movies","Years after his teen romance with Milea, a now-adult Dilan tells his version of their love story when a high school reunion brings them back together.","Indonesia","June 13, 2020","TV-14"
"s2393","Movie","Axone","Nicholas Kharkongor","Comedies, Dramas, Independent Movies","In Delhi, friends from Northeast India prepare a pungent delicacy for a wedding party, sparking conflict and comedy with their unaccustomed neighbors.","India","June 12, 2020","TV-MA"
"s2394","Movie","Da 5 Bloods","Spike Lee","Action & Adventure, Dramas","Four African American veterans return to Vietnam decades after the war to find their squad leader's remains — and a stash of buried gold. From Spike Lee.","United States","June 12, 2020","R"
"s2403","Movie","From A to B","Ali F. Mostafa","Comedies, Dramas, International Movies","To celebrate the memory of their pal who passed away, three estranged friends attempt to reconnect on an eventful road trip from Abu Dhabi to Beirut.","United Arab Emirates, Jordan, Lebanon, Saudi Arabia","June 11, 2020","TV-MA"
"s2408","Movie","Middle Men","George Gallo","Comedies, Dramas, Independent Movies","An entrepreneur develops an adult entertainment online billing company – and winds up dealing with mobsters, the FBI, con men and terrorists.","United States","June 10, 2020","R"
"s2412","Movie","Before I Fall","Ry Russo-Young","Dramas, Romantic Movies","Forced to continually relive the day she dies in a car crash, a privileged high schooler must unravel the cosmic mystery of her suddenly looping life.","United States","June 8, 2020","PG-13"
"s2413","Movie","365 Days","Barbara Białowąs, Tomasz Mandes","Dramas, International Movies, Romantic Movies","A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.","Poland","June 7, 2020","TV-MA"
"s2415","Movie","Project Papa","Kanika Batra","Dramas, Independent Movies, International Movies","When a busy entrepreneur pauses her career to spend time with her aging father, both learn valuable lessons on happiness, love and living in the moment.","India","June 7, 2020","TV-14"
"s2417","Movie","The Night Clerk","Michael Cristofer","Dramas, Independent Movies","After a charming guest checks in, a voyeuristic hotel clerk on the autism spectrum becomes a suspect in a murder that takes place during his shift.","United States","June 6, 2020","R"
"s2419","Movie","Before the Summer Crowds","Mohamed Khan","Dramas, International Movies","Ahead of summer break, a couple heads to a seaside resort where intimate interactions with other villagers make for anything but a peaceful holiday.","Egypt","June 5, 2020","TV-14"
"s2421","Movie","Choked: Paisa Bolta Hai","Anurag Kashyap","Dramas, International Movies","A bank employee weighed down by her jobless husband's debts — and her own broken dreams — finds a secret source of seemingly unlimited cash in her home.","India","June 5, 2020","TV-14"
"s2425","Movie","The Last Days of American Crime","Olivier Megaton","Action & Adventure, Dramas, Independent Movies","A bank robber joins a plot to commit one final, historic heist before the government turns on a mind-altering signal that will end all criminal behavior.","United States","June 5, 2020","TV-MA"
"s2426","Movie","The Light of My Eyes",NULL,"Dramas, International Movies, Romantic Movies","A composer hides his love for his formerly blind ex when she returns to Egypt engaged to his childhood friend — the doctor who restored her sight.",NULL,"June 5, 2020","TV-MA"
"s2428","Movie","Hot Sweet Sour","Andaç Haznedaroğlu","Dramas, International Movies, Romantic Movies","In love since childhood, a couple separates to pursue different paths but makes a pact to marry each other in five years if they are still single.","Turkey","June 4, 2020","TV-14"
"s2431","Movie","Lady Bird","Greta Gerwig","Comedies, Dramas, Independent Movies","An intrepid high schooler in Sacramento undergoes the trials of love, family and self-discovery as she dreams of escaping to college on the East Coast.","United States","June 3, 2020","R"
"s2435","Movie","Let's Dance","Inas El-Degheidy","Comedies, Dramas, International Movies","Disillusioned with her humdrum routine, a married lawyer secretly enrolls in a dance school in this remake of the 1996 Japanese film “Shall We Dance?”","Egypt","June 2, 2020","TV-14"
"s2438","Movie","My Horrible Grandma","Sameh Abdulaziz","Comedies, Dramas, International Movies","As a man fumbles to keep things in order, his assertive grandmother tries to straighten out his life when she returns to live with him.","Egypt","June 2, 2020","TV-MA"
"s2439","Movie","Sorry To Disturb","Khaled Marei","Dramas, International Movies","After losing his father, a genius yet troubled aviation engineer suffering from loneliness tackles a complex project: love.","Egypt","June 2, 2020","TV-14"
"s2442","Movie","What's Up?","Izidore K. Musallam","Comedies, Dramas, International Movies","Flirting with modernity, a young woman must keep her new romance a secret from her conservative brother, who plans to keep her in line with tradition.","Saudi Arabia, United Arab Emirates","June 2, 2020","TV-PG"
"s2446","Movie","Chippa","Safdar Rahman","Comedies, Dramas, Independent Movies","At midnight on his 10th birthday, a boy scours the lesser-known Kolkata streets in search of a father he’s never met, carrying a letter he can’t read.","India","June 1, 2020","TV-14"
"s2455","Movie","The Disaster Artist","James Franco","Comedies, Dramas","Aspiring actor Greg moves to Los Angeles with his strange friend Tommy, then agrees to star in his movie. Things start weird and get a lot weirder.","United States","June 1, 2020","R"
"s2456","Movie","The Stolen","Niall Johnson","Dramas","A well-to-do British woman must venture into New Zealand's wild and dangerous unknown when her baby son is kidnapped and held for ransom.","United Kingdom, Germany, United Arab Emirates, New Zealand","June 1, 2020","TV-14"
"s2457","Movie","High Strung Free Dance","Michael Damian","Dramas, Music & Musicals, Romantic Movies","A choreographer casts a contemporary dancer and a gifted pianist for a highly anticipated Broadway show as internal drama tries to steal the spotlight.","Romania, United States","May 31, 2020","TV-14"
"s2458","Movie","Freej Al Taibeen","Ahmed Zain","Comedies, Dramas, International Movies","Local rivals gear up to compete in a traditional game that tests their physical strength and endurance, but complications disrupt their training.","United Arab Emirates","May 29, 2020","TV-PG"
"s2461","Movie","The Other","Youssef Chahine","Dramas, International Movies, Romantic Movies","When a graduate student elopes with a plucky reporter, his wealthy, possessive mother connives with his militant brother-in-law to wreck the union.","France, Egypt","May 29, 2020","TV-MA"
"s2466","Movie","Intuition","Alejandro Montiel","Dramas, International Movies, Thrillers","Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to Perdida.","Argentina","May 28, 2020","TV-MA"
"s2467","TV Show","Mako Mermaids: An H2O Adventure",NULL,"Kids' TV, TV Comedies","This H2O sequel follows Zac, a boy who accidentally turns into a merman and threatens the existence of three young mermaids who guard Mako Island.","Australia","May 28, 2020","TV-G"
"s2468","Movie","I'm No Longer Here","Fernando Frías de la Parra","Dramas, Independent Movies, International Movies","A terrible misunderstanding with a local gang sends 17-year-old Ulises, leader of a group hooked on cumbia music, across the border to save his life.","Mexico, United States","May 27, 2020","TV-MA"
"s2472","Movie","Uncut Gems","Josh Safdie, Benny Safdie","Dramas, Thrillers","With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hopes of staying afloat and alive.","United States","May 25, 2020","R"
"s2475","Movie","One Day We'll Talk About Today","Angga Dwimas Sasongko","Dramas, International Movies","Harboring a deep secret, a seemingly happy family confronts the trauma of years past as a clash between generations threatens to separate them.","Indonesia","May 23, 2020","TV-G"
"s2476","Movie","Si Doel the Movie 3","Rano Karno","Dramas, International Movies, Music & Musicals","Torn between reuniting with one family and leaving another behind, Doel must choose between the two women he loves.","Indonesia","May 23, 2020","TV-G"
"s2482","Movie","#FriendButMarried","Rako Prijanto","Dramas, International Movies, Romantic Movies","Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.","Indonesia","May 21, 2020","TV-G"
"s2483","Movie","Bye Bye London","Almunsif Alsuwaisi","Comedies, Dramas, International Movies","In this satirical play, a wealthy Kuwaiti businessman travels to London for pleasure and encounters a host of eccentric characters.","Kuwait","May 21, 2020","TV-14"
"s2488","Movie","No Longer kids","Samir Al Asfory","Comedies, Dramas, International Movies","Hoping to prevent their father from skipping town with his mistress, four rowdy siblings resort to absurd measures to stop him.","Egypt","May 21, 2020","TV-14"
"s2489","Movie","Raya and Sakina","Hussein Kamal","Comedies, Dramas, International Movies","When robberies and murders targeting women sweep early 20th-century Egypt, the hunt for suspects leads to two shadowy sisters. Based on a true story.",NULL,"May 21, 2020","TV-14"
"s2492","Movie","The School of Mischief","Houssam El-Din Mustafa","Comedies, Dramas, International Movies","A high school teacher volunteers to transform five notorious misfits into model students — and has unintended results.","Egypt","May 21, 2020","TV-14"
"s2497","Movie","Honeytrap","Rebecca Johnson","Dramas, Independent Movies","New to London, a naive and desperate teenager tries to fit in but instead becomes tragically implicated in a merciless world of gang violence.","United Kingdom","May 20, 2020","TV-MA"
"s2498","Movie","I Will Follow","Ava DuVernay","Dramas, Independent Movies, Romantic Movies","Devastated after her aunt dies, Maye moves out of the home they shared and copes with her grief, yet finds comfort in the kindness of other mourners.","United States","May 20, 2020","TV-14"
"s2501","Movie","What Are the Odds?","Megha Ramaswamy","Comedies, Dramas, Independent Movies","When two unlikely friends play hooky from school, accidental encounters and otherworldly events turn their day into a whimsical coming-of-age journey.","India","May 20, 2020","TV-MA"
